kind,asset,date,detail,reason
extreme_return,BNB,2018-01-05,log_return=+0.5116,"Genuine BNB parabolic moves, confirmed on both Binance and the CoinMetrics reference. 2018-01-05: the January-2018 alt blow-off, BNB ~$9 -> ~$15 close-to-close. 2021-02-19: the BSC-hype run, BNB ~$130 -> ~$280 in a day. Both are real tail events for this asset, not bad prints."
source_divergence,BNB,2018-01-10,"|ln(a/b)|=0.0228 > max(0.02, day |ret|=0.0034)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-01-18,"|ln(a/b)|=0.0256 > max(0.02, day |ret|=0.0077)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-01-18,"|ln(a/b)|=0.0246 > max(0.02, day |ret|=0.0060)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-01-28,"|ln(a/b)|=0.0261 > max(0.02, day |ret|=0.0186)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-01-31,"|ln(a/b)|=0.0231 > max(0.02, day |ret|=0.0091)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-01-31,"|ln(a/b)|=0.0327 > max(0.02, day |ret|=0.0180)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
few_intraday_bars,BTC,2018-02-08,6/288 bars (2%),"Binance exchange maintenance / unscheduled outage days (2018-2020), incl. the multi-day February 2018 upgrade. The daily return series (CoinMetrics reference) does not depend on Binance uptime. Realized measures on these days are computed on partial 5-minute bars and stay flagged for down-weighting in the realized-model evaluation."
few_intraday_bars,ETH,2018-02-08,6/288 bars (2%),"Binance exchange maintenance / unscheduled outage days (2018-2020), incl. the multi-day February 2018 upgrade. The daily return series (CoinMetrics reference) does not depend on Binance uptime. Realized measures on these days are computed on partial 5-minute bars and stay flagged for down-weighting in the realized-model evaluation."
few_intraday_bars,BTC,2018-02-09,168/288 bars (58%),"Binance exchange maintenance / unscheduled outage days (2018-2020), incl. the multi-day February 2018 upgrade. The daily return series (CoinMetrics reference) does not depend on Binance uptime. Realized measures on these days are computed on partial 5-minute bars and stay flagged for down-weighting in the realized-model evaluation."
